method,body,step,x,y,iterations
fixed,M,12,0.283891603140,0.137443023664,12
newton,M,12,0.283891603115,0.137443023728,4
fixed,H,12,-10.655175855375,4.216069316485,24
newton,H,12,-10.655175860376,4.216069316989,6
fixed,M,13,0.279469648561,0.148170198114,12
newton,M,13,0.279469648535,0.148170198173,4
fixed,H,13,-11.274435175794,4.275221917535,22
newton,H,13,-11.274435181349,4.275221918035,6
fixed,M,14,0.274732205223,0.158730127532,12
newton,M,14,0.274732205198,0.158730127585,4
fixed,H,14,-11.871816188618,4.326070007719,21
newton,H,14,-11.871816190974,4.326070007908,6
fixed,M,15,0.269687458068,0.169112531654,12
newton,M,15,0.269687458044,0.169112531701,4
fixed,H,15,-12.449180891849,4.369617850612,19
newton,H,15,-12.449180895962,4.369617850903,6
fixed,M,16,0.264343978196,0.179307634975,12
newton,M,16,0.264343978173,0.179307635016,4
fixed,H,16,-13.008112121433,4.406690693260,18
newton,H,16,-13.008112123663,4.406690693398,6
fixed,M,17,0.258710684421,0.189306180801,12
newton,M,17,0.258710684400,0.189306180836,4
fixed,H,17,-13.549970043174,4.437975820049,17
newton,H,17,-13.549970044459,4.437975820118,6
fixed,M,18,0.252796804700,0.199099441954,12
newton,M,18,0.252796804682,0.199099441983,4
fixed,H,18,-14.075934629460,4.464052346754,16
newton,H,18,-14.075934630239,4.464052346790,6
fixed,M,19,0.246611837769,0.208679228247,12
newton,M,19,0.246611837753,0.208679228272,4
fixed,H,19,-14.587038126146,4.485413290123,15
newton,H,19,-14.587038126635,4.485413290142,6
fixed,M,20,0.240165515265,0.218037890849,12
newton,M,20,0.240165515251,0.218037890869,4
fixed,H,20,-15.084190284128,4.502482216142,14
newton,H,20,-15.084190284436,4.502482216151,6
fixed,M,21,0.233467764617,0.227168323688,12
newton,M,21,0.233467764605,0.227168323703,4
fixed,H,21,-15.568198242570,4.515626001674,13
newton,H,21,-15.568198242755,4.515626001679,6
fixed,M,22,0.226528672941,0.236063962084,12
newton,M,22,0.226528672931,0.236063962096,4
fixed,H,22,-16.039782396034,4.525164757886,12
newton,H,22,-16.039782396127,4.525164757887,6
fixed,M,23,0.219358452143,0.244718778794,12
newton,M,23,0.219358452135,0.244718778804,4
fixed,H,23,-16.499589200282,4.531379646441,10
newton,H,23,-16.499589200996,4.531379646448,6
fixed,M,24,0.211967405466,0.253127277645,11
newton,M,24,0.211967405425,0.253127277691,4
fixed,H,24,-16.948201618334,4.534519107789,9
newton,H,24,-16.948201618406,4.534519107789,6
fixed,M,25,0.204365895392,0.261284485202,11
newton,M,25,0.204365895358,0.261284485237,4
fixed,H,25,-17.386147708872,4.534803876476,9
newton,H,25,-17.386147708869,4.534803876476,6
fixed,M,26,0.196564313595,0.269185940081,11
newton,M,26,0.196564313569,0.269185940107,4
fixed,H,26,-17.813907766649,4.532431058809,9
newton,H,26,-17.813907766790,4.532431058808,6
fixed,M,27,0.188573052275,0.276827680979,11
newton,M,27,0.188573052254,0.276827680998,4
fixed,H,27,-18.231920289711,4.527577477171,10
newton,H,27,-18.231920288923,4.527577477183,6
fixed,M,28,0.180402477513,0.284206232981,11
newton,M,28,0.180402477497,0.284206232994,4
fixed,H,28,-18.640587002722,4.520402435279,11
newton,H,28,-18.640587003325,4.520402435267,6
fixed,M,29,0.172062904475,0.291318592626,11
newton,M,29,0.172062904464,0.291318592635,4
fixed,H,29,-19.040277135116,4.511050021310,12
newton,H,29,-19.040277134817,4.511050021318,6
fixed,M,30,0.163564574503,0.298162211898,11
newton,M,30,0.163564574495,0.298162211905,4
fixed,H,30,-19.431331045915,4.499651040001,12
newton,H,30,-19.431331045091,4.499651040028,6
fixed,M,31,0.154917634105,0.304734981342,11
newton,M,31,0.154917634099,0.304734981346,4
fixed,H,31,-19.814063358231,4.486324643086,11
newton,H,31,-19.814063356852,4.486324643138,6
fixed,M,32,0.146132115849,0.311035212463,10
newton,M,32,0.146132115815,0.311035212486,4
fixed,H,32,-20.188765651242,4.471179713910,13
newton,H,32,-20.188765649354,4.471179713992,6
